id,num_orders
1028232,47
1127204,34
1212707,58
1082698,17
1400926,13
1284113,100
1197966,128
1132739,57
1057981,16
1095932,29
1454421,57
1149765,65
1166964,228
1010949,171
1409575,13
1181616,13
1456020,97
1264395,107
1472931,28
1412015,24
1461229,30
1014564,96
1485914,19
1345389,26
1006833,56
1174921,13
1175393,13
1152412,12
1497398,13
1363486,13
1366766,13
1192413,13
1319547,115
1337684,37
1479766,33
1460444,1047
1139730,349
1115056,204
1335827,59
1385333,426
1096323,537
1230693,458
1027016,57
1181520,45
1306234,97
1271440,630
1269834,360
1176823,615
1193098,53
1034878,22
1010243,72
1451807,27
1016845,35
1198021,33
1413802,33
1231223,24
1274226,451
1425142,276
1211593,163
1419190,14
1180223,14
1194932,72
1323477,91
1371595,92
1171521,96
1052384,112
1060921,36
1261811,60
1246502,121
1497466,239
1232717,15
1136112,13
1196334,224
1349533,153
1463406,183
1447686,95
1336105,54
1012855,257
1180646,219
1062490,91
1098228,975
1101375,202
1400016,280
1439889,16
1408468,32
1044490,25
1290002,486
1190633,469
1040430,523
1049366,48
1224120,51
1293810,93
1197335,433
1323989,354
1129467,573
1229328,17
1164395,21
1217722,16
1171266,31
1024905,18
1343027,19
1141892,23
1302404,13
1170447,316
1140772,390
1103484,114
1387134,13
1117711,13
1472121,13
1289523,181
1091114,243
1043572,372
1103283,101
1265051,53
1168741,39
1052776,54
1206564,93
1302153,195
1083754,15
1097952,14
1251605,13
1333032,164
1086936,146
1088412,81
1236400,14
1244516,40
1380381,19
1495062,237
1439647,159
1019214,102
1316160,489
1022008,240
1138248,180
1052922,14
1181474,26
1046475,17
1216688,179
1067565,311
1008328,195
1430287,67
1406716,90
1105380,66
1248694,186
1252163,165
1443474,280
1033716,25
1300295,21
1311882,19
1257968,15
1226362,60
1030655,40
1210527,15
1278927,15
1232239,15
1133067,226
1382522,262
1219136,149
1498130,13
1251629,13
1032092,13
1249865,62
1207630,96
1144733,83
1436768,14
1148964,13
1237346,50
1206015,15
1105113,120
1430481,13
1001589,42
1224132,20
1074380,194
1097109,265
1211246,80
1390579,178
1473058,197
1186964,33
1222837,17
1342393,37
1170472,131
1170791,183
1046653,160
1195179,46
1332509,49
1438300,61
1435748,262
1052668,168
1227060,242
1342252,31
1143109,15
1394807,57
1448374,13
1028680,47
1079691,24
1402079,17
1424446,14
1133297,206
1076214,382
1173823,212
1488584,13
1072892,13
1277491,13
1290868,76
1048888,135
1138141,167
1473125,13
1196726,13
1179278,13
1282305,15
1359903,17
1355143,57
1095889,14
1250665,50
1426610,15
1390104,226
1051519,263
1337584,67
1332667,1131
1075942,679
1109804,350
1316684,27
1248315,92
1113611,41
1110867,510
1247289,600
1022953,879
1160081,24
1120430,55
1487280,118
1020081,884
1329551,595
1137610,867
1072530,106
1115708,119
1203532,65
1494216,186
1116374,166
1032497,98
1413930,59
1136118,72
1254872,26
1398257,661
1364001,551
1369843,251
1379360,25
1442044,17
1285290,17
1129707,294
1086750,314
1147262,366
1025605,118
1414158,122
1082079,74
1467510,80
1374892,136
1171352,396
1213246,22
1279131,31
1256386,20
1234220,611
1008206,362
1267686,298
1470186,40
1233312,133
1279379,60
1431703,412
1339938,289
1010552,167
1237947,549
1175098,194
1066074,107
1045918,19
1226081,15
1148633,216
1441429,314
1291804,188
1305194,44
1327840,42
1320801,59
1467101,48
1473989,130
1466330,241
1390856,13
1120639,16
1279275,15
1166120,19
1128404,19
1252491,13
1328056,257
1452353,187
1353276,43
1297182,13
1469299,13
1129687,67
1362599,215
1245170,406
1098570,15
1452600,13
1194207,13
1023619,24
1254600,37
1157094,77
1165391,15
1131248,13
1383646,38
1288250,36
1476141,31
1401237,14
1383510,19
1433607,14
1098207,132
1453624,155
1089046,45
1306954,1026
1413179,380
1379869,336
1037218,36
1247919,114
1097438,53
1441938,482
1060769,592
1409283,698
1397517,43
1220386,39
1297481,148
1309280,550
1013813,458
1087803,756
1256077,45
1328392,21
1197947,33
1134877,77
1149222,47
1321757,50
1364052,62
1346914,21
1343936,430
1284997,490
1443980,163
1272226,14
1267791,13
1049345,14
1300007,317
1220471,389
1486124,393
1183373,70
1076787,44
1218918,31
1351627,79
1333350,163
1312936,243
1477543,15
1408514,14
1256773,14
1174904,223
1392815,271
1389126,159
1074816,39
1124612,78
1318251,54
1089252,301
1396463,264
1289632,101
1083889,219
1121896,109
1004866,58
1234436,13
1311318,26
1476647,15
1419834,143
1188670,154
1260238,100
1263791,27
1070835,24
1433069,29
1349084,199
1360259,145
1022475,229
1037167,23
1492031,13
1057541,16
1483675,28
1463966,20
1474096,13
1440771,15
1452763,14
1382621,156
1035365,283
1355984,161
1140520,13
1168148,48
1052343,73
1370827,143
1055728,13
1053449,12
1368579,13
1208370,14
1027455,13
1147326,16
1203029,13
1389643,21
1482071,14
1411487,124
1043533,189
1294351,66
1409427,183
1000264,79
1016463,20
1224218,13
1485114,17
1006410,13
1221242,73
1031339,223
1153545,82
1182144,44
1194788,25
1082828,40
1265773,110
1154515,58
1105986,139
1293017,15
1272587,13
1027143,13
1179146,28
1342337,13
1269746,14
1369030,91
1109605,229
1099603,87
1319113,13
1155697,13
1218892,38
1493357,50
1202597,52
1116108,13
1229780,12
1391127,13
1085957,15
1267409,14
1245159,18
1378973,13
1079844,72
1024089,98
1463712,36
1268331,267
1058344,147
1417277,111
1056035,19
1343254,49
1262833,28
1272751,96
1013213,316
1263405,196
1204818,41
1333742,14
1043262,19
1449237,405
1080908,193
1073524,515
1196482,52
1068138,55
1320427,63
1184166,65
1228572,161
1075131,166
1128915,22
1182843,41
1094044,301
1209858,363
1222963,138
1037477,16
1001694,13
1054299,18
1371044,53
1254718,105
1086268,114
1003757,13
1448276,12
1489645,163
1491279,79
1408337,137
1360068,25
1316400,114
1110618,50
1146271,245
1474849,221
1352055,61
1245977,37
1165288,58
1081099,15
1441467,13
1336838,91
1106150,182
1190084,47
1232610,44
1321845,53
1159511,149
1441739,81
1096623,44
1474925,13
1118719,13
1297074,13
1054861,70
1208736,155
1161439,59
1282737,48
1194305,41
1353044,54
1063225,13
1116078,13
1075416,13
1088172,13
1320248,173
1271591,180
1127237,38
1243020,168
1416839,104
1172788,23
1473056,25
1060753,13
1053540,70
1261815,217
1489999,76
1133739,34
1384693,18
1072117,38
1023989,61
1183974,83
1171351,12
1004475,13
1080300,14
1164653,13
1444590,13
1169717,36
1399692,79
1393811,17
1177147,13
1455218,13
1478944,25
1415824,43
1041241,25
1045506,13
1210059,14
1139397,13
1008295,13
1406978,14
1470180,13
1326956,78
1268964,96
1267165,680
1414458,106
1105486,162
1246396,13
1223814,22
1208097,19
1426257,207
1402266,356
1273610,497
1082679,60
1061395,48
1448891,79
1121802,74
1017920,258
1220913,367
1201769,16
1214790,15
1055980,13
1143296,13
1161381,16
1049400,14
1388858,16
1367157,20
1056911,13
1363870,245
1206999,188
1220962,60
1244866,13
1161719,13
1492231,105
1492759,107
1408726,130
1337818,59
1136894,37
1050836,31
1157808,50
1438743,125
1092027,155
1286976,13
1244383,13
1220086,13
1014137,86
1460613,57
1269949,18
1022949,13
1118546,24
1006832,136
1461216,141
1333438,40
1014151,485
1196661,149
1072688,37
1161832,13
1146287,24
1329636,13
1113345,211
1079296,216
1245711,112
1312378,44
1280461,69
1132214,91
1013410,129
1315890,177
1453825,227
1137590,13
1046820,13
1100813,13
1213133,12
1119887,13
1339495,14
1172173,13
1250692,13
1000962,190
1122867,260
1367068,103
1181254,13
1411654,18
1154407,20
1477833,14
1422724,13
1112704,35
1346146,50
1108405,129
1194904,14
1448084,15
1266676,13
1099057,16
1188584,185
1230753,178
1237054,84
1161084,208
1401228,118
1493372,49
1395665,13
1002279,18
1424621,16
1256602,130
1390004,188
1146927,67
1057232,14
1319822,15
1353668,15
1157084,150
1115935,108
1033089,321
1090029,24
1464617,18
1209279,26
1039223,20
1152313,55
1198253,97
1356983,14
1375236,23
1276289,15
1188533,173
1163547,254
1089771,81
1449997,13
1261700,13
1098789,13
1119881,40
1174890,57
1194658,99
1354710,13
1276097,13
1451749,14
1260659,43
1342195,20
1177959,57
1346194,17
1081095,31
1228200,18
1400215,111
1101987,154
1280892,17
1207745,400
1158313,350
1326014,112
1040372,14
1405754,25
1251759,13
1094372,153
1113898,242
1351735,229
1305756,66
1144073,53
1219445,70
1399854,330
1077708,126
1136982,367
1168044,58
1301176,53
1045879,16
1375132,65
1224442,89
1195553,16
1486052,20
1406304,13
1003371,256
1447908,303
1022766,212
1359162,13
1149541,13
1389512,13
1294598,81
1187407,114
1151085,199
1262007,15
1273205,13
1098767,13
1328665,46
1207902,23
1110134,67
1135750,13
1404904,26
1252213,13
1471895,255
1370308,206
1488744,118
1312130,98
1432207,41
1067574,19
1497576,13
1173597,14
1463356,13
1476005,75
1226297,168
1312818,83
1170077,18
1132041,26
1144962,16
1180712,75
1420842,33
1048319,99
1062167,13
1281864,13
1310639,13
1316568,23
1470598,14
1126729,13
1187117,12
1231315,13
1193778,73
1497770,149
1296043,52
1109033,34
1253619,36
1015055,76
1323954,13
1236535,13
1291602,13
1034239,13
1487244,81
1432981,88
1413500,15
1240615,1004
1125250,358
1049986,446
1432590,13
1064865,32
1462054,14
1175329,259
1231504,326
1310137,374
1176123,34
1267634,17
1397808,56
1489068,535
1399261,289
1057026,439
1157087,50
1221970,54
1055041,115
1378097,62
1154169,65
1062376,18
1181839,22
1276632,17
1388270,313
1171130,289
1242759,125
1035528,13
1232845,14
1133643,13
1020633,92
1137724,78
1418017,82
1129706,35
1414426,24
1443244,14
1336913,28
1216868,84
1074099,185
1005733,20
1187232,14
1315006,193
1429640,197
1193124,194
1321067,25
1020914,38
1464172,15
1012356,128
1048213,163
1414658,46
1067356,734
1402145,221
1205618,160
1102348,14
1439251,19
1141169,15
1429174,342
1360530,411
1078717,365
1034750,83
1292295,82
1464006,117
1207416,216
1081039,272
1038600,407
1434474,23
1420970,13
1493390,18
1062042,14
1407930,14
1309366,20
1494106,22
1253128,14
1230871,331
1103899,208
1178356,74
1270686,13
1461376,13
1055872,13
1027667,46
1150000,23
1035466,36
1015226,41
1004410,21
1225216,68
1261758,79
1009224,151
1164468,13
1234697,40
1072809,72
1405077,47
1133718,13
1090779,26
1220305,14
1455516,130
1077080,164
1381871,76
1497941,477
1405281,377
1184133,231
1297493,18
1351826,28
1351915,14
1303502,134
1103552,282
1074755,258
1054413,75
1100592,55
1265971,81
1062386,248
1005415,175
1454684,325
1098324,63
1463531,44
1128843,22
1200592,58
1337305,122
1130901,73
1101312,16
1423243,24
1358603,14
1040493,278
1023439,372
1402530,200
1148734,13
1115378,13
1138163,52
1089398,80
1111393,187
1441237,14
1073593,13
1353069,15
1237302,55
1068099,17
1296768,67
1407946,15
1341469,37
1099372,20
1310892,123
1190768,140
1070732,57
1249505,111
1235991,114
1260972,31
1207552,13
1043700,15
1311764,13
1387118,138
1193391,136
1091807,127
1240478,41
1494088,33
1347537,66
1102292,176
1088345,85
1446214,130
1033631,13
1291932,13
1048558,13
1374367,14
1379701,126
1324376,283
1000116,96
1213448,13
1246867,41
1414636,102
1390449,107
1440242,15
1382211,13
1248175,13
1395486,13
1222155,15
1031664,108
1022670,177
1280365,66
1034558,19
1147078,17
1459822,17
1099677,63
1348084,65
1220274,15
1209309,32
1184750,60
1190011,79
1319480,40
1305176,41
1251039,13
1312629,23
1031682,96
1034125,42
1046291,13
1444323,42
1317716,61
1057421,72
1428458,85
1348068,40
1380958,42
1001797,520
1207458,124
1252167,117
1402459,14
1336623,27
1092234,14
1276698,165
1014174,180
1389987,187
1176492,14
1248265,22
1045510,41
1045443,135
1099568,94
1295338,280
1207102,16
1391315,13
1251276,13
1003702,17
1371347,31
1495432,18
1427121,13
1314783,14
1358927,13
1465453,146
1183611,172
1272052,64
1363954,13
1409502,13
1030133,73
1363671,72
1035001,86
1410185,48
1432211,22
1065392,22
1373418,25
1365940,49
1242870,88
1231479,13
1404091,13
1181234,51
1085163,60
1436870,25
1254416,13
1471032,20
1334116,14
1347256,75
1311604,79
1063501,34
1025721,334
1276142,179
1060806,92
